year,team,skip,rank,round,champion_share,champion,playoff_rank_1,playoff_rank_2,playoff_rank_3,playoff_rank_4,total_games,games_won,games_lost,points_for,points_against,ends_won,ends_lost,blank_ends,stolen_ends,shot_percentage,last_stone_draw_cm,percentage_games_won,percentage_games_lost,ave_points_for,ave_points_against,ave_ends_won,ave_ends_lost,ave_blank_ends,ave_stolen_ends
2014,Saskatchewan (Lawton),Stefanie Lawton,4,quarter,0.25,0,0,0,1,0,11,8,3,78,52,44,40,17,4,0.85,n/a,0.727272727,0.272727273,7.090909091,4.727272727,4,3.636363636,1.545454545,0.363636364
2014,Alberta (Sweeting),Val Sweeting,3,final,0.75,0,0,0,0,1,11,8,3,79,65,49,42,13,13,0.84,n/a,0.727272727,0.272727273,7.181818182,5.909090909,4.454545455,3.818181818,1.181818182,1.181818182
2014,New Brunswick (Crawford),Andrea Crawford,NR,0,0,0,0,0,0,0,11,6,5,59,68,42,41,21,11,0.8,n/a,0.545454545,0.454545455,5.363636364,6.181818182,3.818181818,3.727272727,1.909090909,1
2014,British Columbia (Van Osch),Kesa Van Osch,49,0,0,0,0,0,0,0,11,6,5,66,62,43,41,21,7,0.8,n/a,0.545454545,0.454545455,6,5.636363636,3.909090909,3.727272727,1.909090909,0.636363636
2014,Newfoundland and Labrador (Strong),Heather Strong,NR,0,0,0,0,0,0,0,11,4,7,55,71,40,51,14,6,0.78,n/a,0.363636364,0.636363636,5,6.454545455,3.636363636,4.636363636,1.272727273,0.545454545
2014,Nova Scotia (Smith),Heather Smith,19,0,0,0,0,0,0,0,11,4,7,70,70,42,43,17,13,0.82,n/a,0.363636364,0.636363636,6.363636364,6.363636364,3.818181818,3.909090909,1.545454545,1.181818182
2014,Prince Edward Island (Dolan),Kim Dolan,NR,0,0,0,0,0,0,0,11,3,8,54,78,43,48,16,10,0.77,n/a,0.272727273,0.727272727,4.909090909,7.090909091,3.909090909,4.363636364,1.454545455,0.909090909
2014,Ontario (Flaxey),Allison Flaxey,10,0,0,0,0,0,0,0,11,3,8,64,73,42,49,13,7,0.82,n/a,0.272727273,0.727272727,5.818181818,6.636363636,3.818181818,4.454545455,1.181818182,0.636363636
2014,Quebec (Ross),Allison Ross,47,0,0,0,0,0,0,0,11,2,9,51,82,39,47,13,9,0.75,n/a,0.181818182,0.818181818,4.636363636,7.454545455,3.545454545,4.272727273,1.181818182,0.818181818
2014,Yukon/Northwest Territories (Koltun),Sarah Koltun,43,0,0,0,0,0,0,0,11,2,9,52,81,38,47,13,7,0.76,n/a,0.181818182,0.818181818,4.727272727,7.363636364,3.454545455,4.272727273,1.181818182,0.636363636
2013,Manitoba (Jones),Jennifer Jones,2,final,0.75,0,1,0,0,0,11,11,0,95,45,53,35,9,20,0.85,n/a,1,0,8.636363636,4.090909091,4.818181818,3.181818182,0.818181818,1.818181818
2013,Ontario (Homan),Rachel Homan,1,champion,1,1,0,1,0,0,11,10,1,87,48,50,33,16,14,0.82,n/a,0.909090909,0.090909091,7.909090909,4.363636364,4.545454545,3,1.454545455,1.272727273
2013,British Columbia (Scott),Kelly Scott,12,quarter,0.25,0,0,0,1,0,11,8,3,89,69,53,47,3,10,0.79,n/a,0.727272727,0.272727273,8.090909091,6.272727273,4.818181818,4.272727273,0.272727273,0.909090909
2013,Canada (Nedohin),Heather Nedohin,4,semi,0.5,0,0,0,0,1,11,7,4,79,61,46,46,11,9,0.81,n/a,0.636363636,0.363636364,7.181818182,5.545454545,4.181818182,4.181818182,1,0.818181818
2013,Saskatchewan (Shumay),Jill Shumay,22,0,0,0,0,0,0,0,11,6,5,71,74,45,44,7,14,0.73,n/a,0.545454545,0.454545455,6.454545455,6.727272727,4.090909091,4,0.636363636,1.272727273
2013,New Brunswick (Crawford),Andrea Crawford,31,0,0,0,0,0,0,0,11,6,5,82,82,46,49,8,11,0.76,n/a,0.545454545,0.454545455,7.454545455,7.454545455,4.181818182,4.454545455,0.727272727,1
2013,Nova Scotia (Arsenault),Mary-Anne Arsenault,19,0,0,0,0,0,0,0,11,5,6,68,76,52,44,9,18,0.79,n/a,0.454545455,0.545454545,6.181818182,6.909090909,4.727272727,4,0.818181818,1.636363636
2013,Prince Edward Island (Birt),Suzanne Birt,24,0,0,0,0,0,0,0,11,5,6,79,83,48,47,6,11,0.73,n/a,0.454545455,0.545454545,7.181818182,7.545454545,4.363636364,4.272727273,0.545454545,1
2013,Quebec (Ross),Allison Ross,NR,0,0,0,0,0,0,0,11,3,8,60,89,43,46,13,11,0.75,n/a,0.272727273,0.727272727,5.454545455,8.090909091,3.909090909,4.181818182,1.181818182,1
2013,Northwest Territories (Galusha),Kerry Galusha,60,0,0,0,0,0,0,0,11,2,9,58,92,40,54,9,10,0.67,n/a,0.181818182,0.818181818,5.272727273,8.363636364,3.636363636,4.909090909,0.818181818,0.909090909
2013,Newfoundland and Labrador (Devereaux),Stacie Devereaux,44,0,0,0,0,0,0,0,11,2,9,59,87,37,58,6,8,0.68,n/a,0.181818182,0.818181818,5.363636364,7.909090909,3.363636364,5.272727273,0.545454545,0.727272727
2013,Alberta (Moore),Kristie Moore,26,champion,1,1,0,0,0,0,11,1,10,53,80,37,49,13,4,0.7,n/a,0.090909091,0.909090909,4.818181818,7.272727273,3.363636364,4.454545455,1.181818182,0.363636364
2012,Manitoba (Jones),Jennifer Jones,1,semi,0.5,0,1,0,0,0,11,9,2,77,56,50,39,16,15,0.85,n/a,0.818181818,0.181818182,7,5.090909091,4.545454545,3.545454545,1.454545455,1.363636364
2012,British Columbia (Scott),Kelly Scott,10,final,0.75,0,0,1,0,0,11,8,3,87,74,54,46,8,12,0.79,n/a,0.727272727,0.272727273,7.909090909,6.727272727,4.909090909,4.181818182,0.727272727,1.090909091
2012,Quebec (Larouche),Marie-France Larouche,26,quarter,0.25,0,0,0,1,0,11,7,4,71,67,51,46,11,13,0.79,n/a,0.636363636,0.363636364,6.454545455,6.090909091,4.636363636,4.181818182,1,1.181818182
2012,Alberta (Nedohin),Heather Nedohin,2,0,0,0,0,0,0,1,11,7,4,81,64,52,45,10,12,0.83,n/a,0.636363636,0.363636364,7.363636364,5.818181818,4.727272727,4.090909091,0.909090909,1.090909091
2012,Canada (Holland),Amber Holland,17,0,0,0,0,0,0,0,11,6,5,71,65,43,49,13,10,0.81,n/a,0.545454545,0.454545455,6.454545455,5.909090909,3.909090909,4.454545455,1.181818182,0.909090909
2012,New Brunswick (Atkinson),Rebecca Atkinson,36,0,0,0,0,0,0,0,11,5,6,70,78,43,50,11,5,0.78,n/a,0.454545455,0.545454545,6.363636364,7.090909091,3.909090909,4.545454545,1,0.454545455
2012,Saskatchewan (Englot),Michelle Englot,20,0,0,0,0,0,0,0,11,5,6,89,78,50,50,5,14,0.8,n/a,0.454545455,0.545454545,8.090909091,7.090909091,4.545454545,4.545454545,0.454545455,1.272727273
2012,Ontario (Horgan),Tracy Horgan,24,0,0,0,0,0,0,0,11,4,7,69,69,44,46,10,13,0.78,n/a,0.363636364,0.636363636,6.272727273,6.272727273,4,4.181818182,0.909090909,1.181818182
2012,Newfoundland and Labrador (Strong),Heather Strong,41,0,0,0,0,0,0,0,11,4,7,70,76,43,49,10,10,0.8,n/a,0.363636364,0.636363636,6.363636364,6.909090909,3.909090909,4.454545455,0.909090909,0.909090909
2012,Northwest Territories/Yukon (Galusha),Kerry Galusha,40,0,0,0,0,0,0,0,11,4,7,61,85,45,49,4,12,0.74,n/a,0.363636364,0.636363636,5.545454545,7.727272727,4.090909091,4.454545455,0.363636364,1.090909091
2012,Nova Scotia (Smith),Heather Smith,23,0,0,0,0,0,0,0,11,4,7,63,84,45,45,12,12,0.76,n/a,0.363636364,0.636363636,5.727272727,7.636363636,4.090909091,4.090909091,1.090909091,1.090909091
2012,Prince Edward Island (Dolan),Kim Dolan,NR,0,0,0,0,0,0,0,11,3,8,73,80,46,49,14,10,0.76,n/a,0.272727273,0.727272727,6.636363636,7.272727273,4.181818182,4.454545455,1.272727273,0.909090909
2011,Saskatchewan (Holland),Amber Holland,2,0,0,0,1,0,0,0,11,9,2,87,59,43,47,9,9,0.81,n/a,0.818181818,0.181818182,7.909090909,5.363636364,3.909090909,4.272727273,0.818181818,0.818181818
2011,Canada (Jones),Jennifer Jones,1,0,0,0,0,1,0,0,11,8,3,87,54,50,37,9,16,0.84,n/a,0.727272727,0.272727273,7.909090909,4.909090909,4.545454545,3.363636364,0.818181818,1.454545455
2011,Ontario (Homan),Rachel Homan,7,0,0,0,0,0,1,0,11,8,3,77,51,52,36,9,18,0.8,n/a,0.727272727,0.272727273,7,4.636363636,4.727272727,3.272727273,0.818181818,1.636363636
2011,Nova Scotia (Smith),Heather Smith,NR,0,0,0,0,0,0,1,11,7,4,77,69,46,46,9,15,0.76,n/a,0.636363636,0.363636364,7,6.272727273,4.181818182,4.181818182,0.818181818,1.363636364
2011,British Columbia (Scott),Kelly Scott,13,0,0,0,0,0,0,0,11,7,4,64,61,51,39,13,17,0.76,n/a,0.636363636,0.363636364,5.818181818,5.545454545,4.636363636,3.545454545,1.181818182,1.545454545
2011,Prince Edward Island (Birt),Suzanne Birt,36,0,0,0,0,0,0,0,11,6,5,69,66,45,40,18,14,0.77,n/a,0.545454545,0.454545455,6.272727273,6,4.090909091,3.636363636,1.636363636,1.272727273
2011,Alberta (Kleibrink),Shannon Kleibrink,3,0,0,0,0,0,0,0,11,6,5,76,66,49,49,8,12,0.8,n/a,0.545454545,0.454545455,6.909090909,6,4.454545455,4.454545455,0.727272727,1.090909091
2011,Quebec (Larouche),Marie-France Larouche,23,0,0,0,0,0,0,0,11,4,7,73,78,38,39,7,8,0.77,n/a,0.363636364,0.636363636,6.636363636,7.090909091,3.454545455,3.545454545,0.636363636,0.727272727
2011,Manitoba (Overton-Clapham),Cathy Overton-Clapham,9,0,0,0,0,0,0,0,11,4,7,69,76,48,55,5,11,0.72,n/a,0.363636364,0.636363636,6.272727273,6.909090909,4.363636364,5,0.454545455,1
2011,Northwest Territories/Yukon (Galusha),Kerry Galusha,50,0,0,0,0,0,0,0,11,3,8,48,86,36,51,11,5,0.7,n/a,0.272727273,0.727272727,4.363636364,7.818181818,3.272727273,4.636363636,1,0.454545455
2011,New Brunswick (Kelly),Andrea Kelly,45,0,0,0,0,0,0,0,11,3,8,58,76,42,49,10,9,0.75,n/a,0.272727273,0.727272727,5.272727273,6.909090909,3.818181818,4.454545455,0.909090909,0.818181818
2011,Newfoundland and Labrador (Devereaux),Stacie Devereaux,68,0,0,0,0,0,0,0,11,1,10,54,86,34,56,6,5,0.68,n/a,0.090909091,0.909090909,4.909090909,7.818181818,3.090909091,5.090909091,0.545454545,0.454545455
2010,Prince Edward Island (O'Rourke),Kathy O'Rourke,NR,final,0.75,0,1,0,0,0,11,8,3,79,73,47,43,10,16,0.76,n/a,0.727272727,0.272727273,7.181818182,6.636363636,4.272727273,3.909090909,0.909090909,1.454545455
2010,Canada (Jones),Jennifer Jones,1,champion,1,1,0,1,0,0,11,8,3,80,66,46,45,8,11,0.84,n/a,0.727272727,0.272727273,7.272727273,6,4.181818182,4.090909091,0.727272727,1
2010,British Columbia (Scott),Kelly Scott,3,quarter,0.25,0,0,0,1,0,11,7,4,76,60,52,46,7,15,0.79,n/a,0.636363636,0.363636364,6.909090909,5.454545455,4.727272727,4.181818182,0.636363636,1.363636364
2010,Ontario (McCarville),Krista McCarville,7,semi,0.5,0,0,0,0,1,11,7,4,80,61,43,45,9,12,0.74,n/a,0.636363636,0.363636364,7.272727273,5.545454545,3.909090909,4.090909091,0.818181818,1.090909091
2010,Manitoba (Thurston),Jill Thurston,24,0,0,0,0,0,0,0,11,7,4,84,68,53,45,5,22,76,n/a,0.636363636,0.363636364,7.636363636,6.181818182,4.818181818,4.090909091,0.454545455,2
2010,Saskatchewan (Holland),Amber Holland,4,0,0,0,0,0,0,0,11,6,5,64,71,47,55,14,12,0.75,n/a,0.545454545,0.454545455,5.818181818,6.454545455,4.272727273,5,1.272727273,1.090909091
2010,Quebec (Belisle),Eve Belisle,11,0,0,0,0,0,0,0,11,5,6,64,71,43,45,10,9,0.79,n/a,0.454545455,0.545454545,5.818181818,6.454545455,3.909090909,4.090909091,0.909090909,0.818181818
2010,New Brunswick (Kelly),Andrea Kelly,34,0,0,0,0,0,0,0,11,5,6,72,75,43,46,12,7,75,n/a,0.454545455,0.545454545,6.545454545,6.818181818,3.909090909,4.181818182,1.090909091,0.636363636
2010,Alberta (Sweeting),Val Sweeting,13,0,0,0,0,0,0,0,11,4,7,67,76,42,47,8,9,71,n/a,0.363636364,0.636363636,6.090909091,6.909090909,3.818181818,4.272727273,0.727272727,0.818181818
2010,Northwest Territories/Yukon (Cormier),Sharon Cormier,NR,0,0,0,0,0,0,0,11,4,7,72,75,50,49,7,14,0.7,n/a,0.363636364,0.636363636,6.545454545,6.818181818,4.545454545,4.454545455,0.636363636,1.272727273
2010,Newfoundland and Labrador (Nichols),Shelley Nichols,47,0,0,0,0,0,0,0,11,4,7,73,77,45,46,5,19,0.68,n/a,0.363636364,0.636363636,6.636363636,7,4.090909091,4.181818182,0.454545455,1.727272727
2010,Nova Scotia (McConnery),Nancy McConnery,52,0,0,0,0,0,0,0,11,1,10,53,84,40,52,9,8,0.71,n/a,0.090909091,0.909090909,4.818181818,7.636363636,3.636363636,4.727272727,0.818181818,0.727272727
2009,British Columbia (Mallett),Marla Mallett,n/a,final,0.75,0,1,0,0,0,11,8,3,79,60,45,43,15,10,0.81,n/a,0.727272727,0.272727273,7.181818182,5.454545455,4.090909091,3.909090909,1.363636364,0.909090909
2009,Quebec (Larouche),Marie-France Larouche,n/a,semi,0.5,0,0,1,0,0,11,7,4,79,71,50,48,6,8,0.8,n/a,0.636363636,0.363636364,7.181818182,6.454545455,4.545454545,4.363636364,0.545454545,0.727272727
2009,Saskatchewan (Lawton),Stefanie Lawton,n/a,quarter,0.25,0,0,0,1,0,11,7,4,87,75,53,47,6,16,0.83,n/a,0.636363636,0.363636364,7.909090909,6.818181818,4.818181818,4.272727273,0.545454545,1.454545455
2009,Canada (Jones),Jennifer Jones,n/a,champion,1,1,0,0,0,1,11,7,4,82,58,50,39,9,15,0.83,n/a,0.636363636,0.363636364,7.454545455,5.272727273,4.545454545,3.545454545,0.818181818,1.363636364
2009,Prince Edward Island (MacPhee),Rebeccea Jean MacPhee,n/a,0,0,0,0,0,0,0,11,7,4,79,72,49,46,7,14,0.77,n/a,0.636363636,0.363636364,7.181818182,6.545454545,4.454545455,4.181818182,0.636363636,1.272727273
2009,Ontario (McCarville),Krista McCarville,n/a,0,0,0,0,0,0,0,11,6,5,81,76,50,52,9,6,0.79,n/a,0.545454545,0.454545455,7.363636364,6.909090909,4.545454545,4.727272727,0.818181818,0.545454545
2009,Alberta (Bernard),Cherly Bernard,n/a,0,0,0,0,0,0,0,11,6,5,69,66,48,42,15,12,0.81,n/a,0.545454545,0.454545455,6.272727273,6,4.363636364,3.818181818,1.363636364,1.090909091
2009,New Brunswick (Kelly),Andrea Kelly,n/a,0,0,0,0,0,0,0,11,5,6,60,77,41,46,13,8,0.78,n/a,0.454545455,0.545454545,5.454545455,7,3.727272727,4.181818182,1.181818182,0.727272727
2009,Newfoundland and Labrador (Strong),Heather Strong,n/a,0,0,0,0,0,0,0,11,5,6,81,73,49,50,9,10,0.81,n/a,0.454545455,0.545454545,7.363636364,6.636363636,4.454545455,4.545454545,0.818181818,0.909090909
2009,Northwest Territories/Yukon (Galusha),Kerry Galusha,n/a,0,0,0,0,0,0,0,11,4,7,77,83,51,52,5,12,0.75,n/a,0.363636364,0.636363636,7,7.545454545,4.636363636,4.727272727,0.454545455,1.090909091
2009,Nova Scotia (McConnery),Nancy McConnery,n/a,0,0,0,0,0,0,0,11,2,9,51,81,37,49,14,5,0.75,n/a,0.181818182,0.818181818,4.636363636,7.363636364,3.363636364,4.454545455,1.272727273,0.454545455
2009,Manitoba (Spencer),Barb Spencer,n/a,0,0,0,0,0,0,0,11,2,9,58,91,41,50,8,8,0.77,n/a,0.181818182,0.818181818,5.272727273,8.272727273,3.727272727,4.545454545,0.727272727,0.727272727
2008,Alberta (Kleibrink),Shannon Kleibrink,n/a,final,0.75,0,1,0,0,0,11,10,1,89,56,51,40,12,16,0.84,n/a,0.909090909,0.090909091,8.090909091,5.090909091,4.636363636,3.636363636,1.090909091,1.454545455
2008,Ontario (Middaugh),Sherry Middaugh,n/a,semi,0.5,0,0,1,0,0,11,9,2,92,58,50,41,12,16,0.8,n/a,0.818181818,0.181818182,8.363636364,5.272727273,4.545454545,3.727272727,1.090909091,1.454545455
2008,Quebec (Larouche),Marie-France Larouche,n/a,quarter,0.25,0,0,0,1,0,11,8,3,89,67,45,45,10,9,0.8,n/a,0.727272727,0.272727273,8.090909091,6.090909091,4.090909091,4.090909091,0.909090909,0.818181818
2008,Manitoba (Jones),Jennifer Jones,n/a,champion,1,1,0,0,0,1,11,7,4,78,65,49,44,6,17,0.83,n/a,0.636363636,0.363636364,7.090909091,5.909090909,4.454545455,4,0.545454545,1.545454545
2008,Newfoundland and Labrador (Strong),Heather Strong,n/a,0,0,0,0,0,0,0,11,7,4,78,77,53,46,11,14,0.79,n/a,0.636363636,0.363636364,7.090909091,7,4.818181818,4.181818182,1,1.272727273
2008,Nova Scotia (Arsenault),Mary-Anne Arsenault,n/a,0,0,0,0,0,0,0,11,6,5,75,76,46,49,11,12,0.8,n/a,0.545454545,0.454545455,6.818181818,6.909090909,4.181818182,4.454545455,1,1.090909091
2008,Saskatchewan (Englot),Michelle Englot,n/a,0,0,0,0,0,0,0,11,5,6,64,68,45,42,9,17,0.77,n/a,0.454545455,0.545454545,5.818181818,6.181818182,4.090909091,3.818181818,0.818181818,1.545454545
2008,Canada (Scott),Kelly Scott,n/a,0,0,0,0,0,0,0,11,5,6,70,73,43,49,11,10,0.74,n/a,0.454545455,0.545454545,6.363636364,6.636363636,3.909090909,4.454545455,1,0.909090909
2008,British Columbia (MacInnes),Allison MacInnes,n/a,0,0,0,0,0,0,0,11,4,7,70,74,43,49,11,1,0.74,n/a,0.363636364,0.636363636,6.363636364,6.727272727,3.909090909,4.454545455,1,0.090909091
2008,Prince Edward Island (Gaudet),Suzanne Gaudet,n/a,0,0,0,0,0,0,0,11,3,8,60,82,40,51,6,6,0.76,n/a,0.272727273,0.727272727,5.454545455,7.454545455,3.636363636,4.636363636,0.545454545,0.545454545
2008,Northwest Territories/Yukon (Galusha),Kerry Galusha,n/a,0,0,0,0,0,0,0,11,1,10,59,92,45,52,5,13,0.73,n/a,0.090909091,0.909090909,5.363636364,8.363636364,4.090909091,4.727272727,0.454545455,1.181818182
2008,New Brunswick (Robichaud),Sylvie Robichaud,n/a,0,0,0,0,0,0,0,11,1,10,57,93,41,48,12,10,0.73,n/a,0.090909091,0.909090909,5.181818182,8.454545455,3.727272727,4.363636364,1.090909091,0.909090909
2007,Canada (Scott),Kelly Scott,n/a,champion,1,1,1,0,0,0,11,10,1,89,46,52,33,8,19,0.82,n/a,0.909090909,0.090909091,8.090909091,4.181818182,4.727272727,3,0.727272727,1.727272727
2007,Saskatchewan (Betker),Jan Betker,n/a,final,0.75,0,0,1,0,0,11,9,2,84,52,47,36,10,17,0.83,n/a,0.818181818,0.181818182,7.636363636,4.727272727,4.272727273,3.272727273,0.909090909,1.545454545
2007,Manitoba (Jones),Jennifer Jones,n/a,semi,0.5,0,0,0,1,0,11,9,2,90,59,45,41,6,15,0.81,n/a,0.818181818,0.181818182,8.181818182,5.363636364,4.090909091,3.727272727,0.545454545,1.363636364
2007,Prince Edward Island (Gaudet),Suzanne Gaudet,n/a,quarter,0.25,0,0,0,0,1,11,6,5,80,75,49,46,8,16,0.74,n/a,0.545454545,0.454545455,7.272727273,6.818181818,4.454545455,4.181818182,0.727272727,1.454545455
2007,Alberta (Bernard),Cherly Bernard,n/a,0,0,0,0,0,0,0,11,6,5,67,68,42,44,8,12,0.77,n/a,0.545454545,0.454545455,6.090909091,6.181818182,3.818181818,4,0.727272727,1.090909091
2007,Ontario (Scharf),Krista Scharf,n/a,0,0,0,0,0,0,0,11,6,5,70,78,45,50,10,8,0.76,n/a,0.545454545,0.454545455,6.363636364,7.090909091,4.090909091,4.545454545,0.909090909,0.727272727
2007,Newfoundland and Labrador (Strong),Heather Strong,n/a,0,0,0,0,0,0,0,11,5,6,69,78,48,46,10,13,0.74,n/a,0.454545455,0.545454545,6.272727273,7.090909091,4.363636364,4.181818182,0.909090909,1.181818182
2007,British Columbia (Law),Kelley Law,n/a,0,0,0,0,0,0,0,11,5,6,82,83,45,52,5,10,0.77,n/a,0.454545455,0.545454545,7.454545455,7.545454545,4.090909091,4.727272727,0.454545455,0.909090909
2007,Quebec (Osborne),Chantal Osborne,n/a,0,0,0,0,0,0,0,11,4,7,73,88,47,49,2,12,0.69,n/a,0.363636364,0.636363636,6.636363636,8,4.272727273,4.454545455,0.181818182,1.090909091
2007,Nova Scotia (Mouzar),Jill Mouzar,n/a,0,0,0,0,0,0,0,11,3,8,66,78,45,51,5,14,0.72,n/a,0.272727273,0.727272727,6,7.090909091,4.090909091,4.636363636,0.454545455,1.272727273
2007,Northwest Territories/Yukon (Koe),Kerry Koe,n/a,0,0,0,0,0,0,0,11,2,9,64,93,44,50,10,9,0.73,n/a,0.181818182,0.818181818,5.818181818,8.454545455,4,4.545454545,0.909090909,0.818181818
2007,New Brunswick (Comeau),Sandy Comeau,n/a,0,0,0,0,0,0,0,11,1,10,51,87,35,48,14,8,0.72,n/a,0.090909091,0.909090909,4.636363636,7.909090909,3.181818182,4.363636364,1.272727273,0.727272727
2006,British Columbia (Scott),Kelly Scott,n/a,champion,1,1,1,0,0,0,11,9,2,79,55,48,42,12,9,0.82,n/a,0.818181818,0.181818182,7.181818182,5,4.363636364,3.818181818,1.090909091,0.818181818
2006,Nova Scotia (Jones),Colleen Jones,n/a,semi,0.5,0,1,0,0,0,11,8,3,74,57,55,41,10,22,0.8,n/a,0.727272727,0.272727273,6.727272727,5.181818182,5,3.727272727,0.909090909,2
2006,Canada (Jones),Jennifer Jones,n/a,final,0.75,0,0,1,0,0,11,8,3,82,70,52,48,7,13,0.77,n/a,0.727272727,0.272727273,7.454545455,6.363636364,4.727272727,4.363636364,0.636363636,1.181818182
2006,Quebec (Belisle),Eve Belisle,n/a,quarter,0.25,0,0,0,1,0,11,7,4,81,71,49,48,9,10,0.74,n/a,0.636363636,0.363636364,7.363636364,6.454545455,4.454545455,4.363636364,0.818181818,0.909090909
2006,Newfoundland and Labrador (Strong),Heather Strong,n/a,0,0,0,0,0,0,0,11,7,4,79,75,50,44,10,12,0.75,n/a,0.636363636,0.363636364,7.181818182,6.818181818,4.545454545,4,0.909090909,1.090909091
2006,Alberta (King),Cathy King,n/a,0,0,0,0,0,0,0,11,6,5,70,58,49,39,8,21,0.77,n/a,0.545454545,0.454545455,6.363636364,5.272727273,4.454545455,3.545454545,0.727272727,1.909090909
2006,New Brunswick (Kelly),Andrea Kelly,n/a,0,0,0,0,0,0,0,11,5,6,74,74,49,49,10,11,0.75,n/a,0.454545455,0.545454545,6.727272727,6.727272727,4.454545455,4.454545455,0.909090909,1
2006,Manitoba (Harvey),Janet Harvey,n/a,0,0,0,0,0,0,0,11,4,7,69,77,47,48,8,12,0.74,n/a,0.363636364,0.636363636,6.272727273,7,4.272727273,4.363636364,0.727272727,1.090909091
2006,Prince Edward Island (Gaudet),Suzanne Gaudet,n/a,0,0,0,0,0,0,0,11,4,7,74,89,43,52,13,10,0.71,n/a,0.363636364,0.636363636,6.727272727,8.090909091,3.909090909,4.727272727,1.181818182,0.909090909
2006,Ontario (Scharf),Krista Scharf,n/a,0,0,0,0,0,0,0,11,2,9,65,86,43,57,3,7,0.7,n/a,0.181818182,0.818181818,5.909090909,7.818181818,3.909090909,5.181818182,0.272727273,0.636363636
2006,Saskatchewan (Streifel),Tracy Streifel,n/a,0,0,0,0,0,0,0,11,2,9,60,88,45,53,9,9,0.73,n/a,0.181818182,0.818181818,5.454545455,8,4.090909091,4.818181818,0.818181818,0.818181818
2005,Manitoba (Jones),Jennifer Jones,n/a,champion,1,1,1,0,0,0,11,9,2,82,55,49,38,10,18,0.8,n/a,0.818181818,0.181818182,7.454545455,5,4.454545455,3.454545455,0.909090909,1.636363636
2005,British Columbia (Scott),Kelly Scott,n/a,semi,0.5,0,1,0,0,0,11,8,3,64,50,46,34,20,20,0.8,n/a,0.727272727,0.272727273,5.818181818,4.545454545,4.181818182,3.090909091,1.818181818,1.818181818
2005,Saskatchewan (Lawton),Stefanie Lawton,n/a,quarter,0.25,0,0,1,0,0,11,7,4,69,56,42,46,17,7,0.83,n/a,0.636363636,0.363636364,6.272727273,5.090909091,3.818181818,4.181818182,1.545454545,0.636363636
2005,Ontario (Hanna),Jenn Hanna,n/a,final,0.75,0,0,0,1,0,11,6,5,65,69,44,45,11,7,0.83,n/a,0.545454545,0.454545455,5.909090909,6.272727273,4,4.090909091,1,0.636363636
2005,Alberta (King),Cathy King,n/a,0,0,0,0,0,0,0,11,6,5,68,62,45,45,13,12,0.79,n/a,0.545454545,0.454545455,6.181818182,5.636363636,4.090909091,4.090909091,1.181818182,1.090909091
2005,Canada (Jones),Colleen Jones,n/a,0,0,0,0,0,0,0,11,6,5,77,68,49,44,11,15,0.82,n/a,0.545454545,0.454545455,7,6.181818182,4.454545455,4,1,1.363636364
2005,New Brunswick (Comeau),Sandy Comeau,n/a,0,0,0,0,0,0,0,11,6,5,69,77,46,52,7,12,0.77,n/a,0.545454545,0.454545455,6.272727273,7,4.181818182,4.727272727,0.636363636,1.090909091
2005,Nova Scotia (Zinck),Kay Zinck,n/a,0,0,0,0,0,0,0,11,5,6,65,62,42,46,11,10,0.76,n/a,0.454545455,0.545454545,5.909090909,5.636363636,3.818181818,4.181818182,1,0.909090909
2005,Quebec (Nicholls),Brenda Nicholls,n/a,0,0,0,0,0,0,0,11,4,7,63,73,45,50,9,14,0.79,n/a,0.363636364,0.636363636,5.727272727,6.636363636,4.090909091,4.545454545,0.818181818,1.272727273
2005,Northwest Territories/Yukon (Koe),Kerry Koe,n/a,0,0,0,0,0,0,0,11,4,7,70,73,49,44,11,14,0.77,n/a,0.363636364,0.636363636,6.363636364,6.636363636,4.454545455,4,1,1.272727273
2005,Prince Edward Island (MacPhee),Rebecca Jean MacPhee,n/a,0,0,0,0,0,0,0,11,4,7,70,73,49,44,11,14,0.77,n/a,0.363636364,0.636363636,6.363636364,6.636363636,4.454545455,4,1,1.272727273
2005,Newfoundland and Labrador (Strong),Heather Strong,n/a,0,0,0,0,0,0,0,11,1,10,53,75,39,47,15,9,0.77,n/a,0.090909091,0.909090909,4.818181818,6.818181818,3.545454545,4.272727273,1.363636364,0.818181818
2004,Canada (Jones),Colleen Jones,n/a,champion,1,1,1,0,0,0,11,9,2,89,59,57,38,7,20,0.82,n/a,0.818181818,0.181818182,8.090909091,5.363636364,5.181818182,3.454545455,0.636363636,1.818181818
2004,Ontario (Middaugh),Sherry Middaugh,n/a,semi,0.5,0,1,0,0,0,11,8,3,84,52,51,37,11,16,0.79,n/a,0.727272727,0.272727273,7.636363636,4.727272727,4.636363636,3.363636364,1,1.454545455
2004,Quebec (Larouche),Marie-France Larouche,n/a,final,0.75,0,0,1,0,0,11,8,3,73,70,44,46,10,11,0.75,n/a,0.727272727,0.272727273,6.636363636,6.363636364,4,4.181818182,0.909090909,1
2004,Manitoba (Fowler),Lois Fowler,n/a,quarter,0.25,0,0,0,1,0,11,7,4,78,73,44,45,16,9,0.8,n/a,0.636363636,0.363636364,7.090909091,6.636363636,4,4.090909091,1.454545455,0.818181818
